STT,TestID,Group,File,Type,Question,Expected,Actual,Sources,LatencySec,Correctness,Groundedness,Completeness,RetrievalQuality,FormatHandling,HallucinationRisk,Conclusion,ErrorNote
11,A06,A-Direct,content_summary.md,MD,File content_summary.md m? t? n?i dung g??,T?ng h?p/k?t qu? tr?ch xu?t n?i dung t?i li?u test,"3.3.1. - Độ chính xác và Khả năng kiểm soát ảo giác (Accuracy & Grounding) - Trong pha Offline, hệ thống thực hiện xử lý dữ liệu nguồn từ các văn bản pháp luật (DOCX), trích xuất metadata và áp dụng kỹ thuật phân mảnh dữ liệu 4 tầng (4-tier chunking) để xây dựng cấu trúc phân - ""chuong_so"": ""1"", ""chuong_ten"": ""Quy định chung"", - TEXT INDEX entity_name_idx FOR (n:Entity) ON n.name - 3.7.4. - Tổng hợp và Phản hồi có Căn cứ - Để đảm bảo mô hình không chỉ phản hồi đúng mà còn chuyên nghiệp và chặt chẽ, hệ thống áp dụng chiến lược thiết kế câu lệnh kết hợp giữa hai phương pháp tối ưu:.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- TÓM TẮT) | content_summary.md (- LỜI CẢM ƠN),11.893,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
12,B06,B-Detail,content_summary.md,MD,content_summary.md ghi t?ng s? paragraph l? bao nhi?u?,346,"3.3.1. - Độ chính xác và Khả năng kiểm soát ảo giác (Accuracy & Grounding) - Trong pha Offline, hệ thống thực hiện xử lý dữ liệu nguồn từ các văn bản pháp luật (DOCX), trích xuất metadata và áp dụng kỹ thuật phân mảnh dữ liệu 4 tầng (4-tier chunking) để xây dựng cấu trúc phân - ""chuong_so"": ""1"", ""chuong_ten"": ""Quy định chung"", - TEXT INDEX entity_name_idx FOR (n:Entity) ON n.name - 3.7.4. - Tổng hợp và Phản hồi có Căn cứ - Để đảm bảo mô hình không chỉ phản hồi đúng mà còn chuyên nghiệp và chặt chẽ, hệ thống áp dụng chiến lược thiết kế câu lệnh kết hợp giữa hai phương pháp tối ưu:.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- TÓM TẮT),47.264,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
13,E01,E-Format,file_excel_mau_song_xanh.xlsx,XLSX,File Excel s?ng xanh c? nh?ng sheet n?o?,Du_lieu_chien_dich v? Tong_quan,Chỉ số (A16): Workshop sống xanh; Giá trị (B16): 7 [ column_3 (C16): 4.128571428571429 [.,"file_excel_mau_song_xanh.xlsx (sheet Tong_quan, A1:H16) | file_excel_mau_song_xanh.xlsx (sheet Du_lieu_chien_dich, A1:L32)",2.369,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
14,B07,B-Detail,file_excel_mau_song_xanh.xlsx,XLSX,Ng?y 2026-05-01 c? ho?t ??ng g? v? ? khu v?c n?o?,??i r?c l?y c?y t?i K? t?c x?,"Ở Du_lieu_chien_dich, dòng 3, Khu vực: Ký túc xá.","file_excel_mau_song_xanh.xlsx (sheet Du_lieu_chien_dich, A1:L32) | file_excel_mau_song_xanh.xlsx (sheet Du_lieu_chien_dich)",0.208,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
15,A07,A-Direct,infographic_mau_an_toan_mang.png,PNG,Infographic PNG n?i v? ch? ?? g??,An to?n m?ng cho sinh vi?n,Infographic PNG này có nội dung minh họa về các biện pháp an toàn mạng cho sinh viên.,infographic_mau_an_toan_mang.png (80895512cbb04522ae16053cf3708dec_infographic_mau_an_toan_mang.png),12.202,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
16,B08,B-Detail,infographic_mau_an_toan_mang.png,PNG,Infographic n?u nh?ng bi?n ph?p an to?n m?ng n?o?,"M?t kh?u m?nh, x?c th?c hai l?p, c?nh gi?c li?n k?t l?, sao l?u d? li?u",Infographic này hướng dẫn các biện pháp an toàn mạng cho sinh viên.,infographic_mau_an_toan_mang.png (80895512cbb04522ae16053cf3708dec_infographic_mau_an_toan_mang.png),16.197,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
17,A08,A-Direct,ke_hoach_mau_du_lich_da_lat.md,MD,K? ho?ch Markdown n?y n?i v? chuy?n ?i n?o?,Du l?ch ?? L?t,"Câu hỏi của bạn không rõ ràng và cụ thể. Tuy nhiên, tôi có thể hiểu rằng bạn đang hỏi về kế hoạch du lịch Đà Lạt được mô tả trong tài liệu.  Để trả lời trực tiếp và đúng trọng tâm câu hỏi, tôi sẽ tóm tắt lại kế hoạch du lịch Đà Lạt như sau:  **Ngày đầu tiên:**  * Buổi sáng: Đến Đà Lạt, gửi hành lý tại homestay và ăn sáng nhẹ. * Buổi trưa: Nhận phòng, sắp xếp đồ đạc và ăn trưa gần khu trung tâm. * Buổi tối: Đi chợ đêm Đà Lạt.  **Ngày thứ hai:**  * Buổi sáng: Xuất phát sớm để tham quan các điểm như đồi chè, vườn hoa, quán cà phê view thung lũng hoặc khu vực săn mây. * Buổi trưa: Ăn tại một điểm gần tuyến đường đang đi. * Buổi chiều: Tham quan các điểm nhẹ như nhà thờ, vườn dâu hoặc khu chụp ảnh ngoài trời. * Buổi tối: Ăn lẩu gà lá é hoặc lẩu bò và về sớm.  **Ngày cuối:**  * Buổi sáng: Ăn sáng, đi mua đặc sản và đóng gói hành lý. * Buổi trưa: Ăn nhẹ trước khi ra bến xe. * Buổi chiều: Quay v",ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 4. Lịch trình ngày 2: Thiên nhiên và trải nghiệm) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 3. Lịch trình ngày 1: Đến nơi và làm quen thành phố) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 1. Mục tiêu chuyến đi),29.169,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
18,B09,B-Detail,ke_hoach_mau_du_lich_da_lat.md,MD,Nh?m gi? ??nh g?m bao nhi?u ng??i v? di chuy?n b?ng g??,"4 ng??i, xe kh?ch t? TP.HCM",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,31.25,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
19,A09,A-Direct,nhat_ky_mau_vuon_rau_do_thi.txt,TXT,Nh?t k? TXT n?i v? d? ?n g??,V??n rau ?? th? tr?n s?n th??ng,Nhật ký này nói về dự án vườn rau đô thị trên sân thượng.,nhat_ky_mau_vuon_rau_do_thi.txt (NHẬT KÝ MẪU: DỰ ÁN VƯỜN RAU ĐÔ THỊ TRÊN SÂN THƯỢNG) | nhat_ky_mau_vuon_rau_do_thi.txt | nhat_ky_mau_vuon_rau_do_thi.txt (9. KẾT LUẬN),35.083,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
20,B10,B-Detail,nhat_ky_mau_vuon_rau_do_thi.txt,TXT,Di?n t?ch s?n th??ng ban ??u kho?ng bao nhi?u?,Kho?ng 30 m?t vu?ng,Diện tích sân thượng ban đầu khoảng ba mươi mét vuông.,nhat_ky_mau_vuon_rau_do_thi.txt | nhat_ky_mau_vuon_rau_do_thi.txt (NHẬT KÝ MẪU: DỰ ÁN VƯỜN RAU ĐÔ THỊ TRÊN SÂN THƯỢNG) | nhat_ky_mau_vuon_rau_do_thi.txt (5. NHỮNG KHÓ KHĂN BAN ĐẦU),38.073,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
21,A10,A-Direct,noi_dung_mau_thanh_pho_xanh.pdf,PDF,PDF Th?nh ph? Xanh 2030 h??ng ??n m?c ti?u g??,"Gi?m r?c th?i nh?a, t?ng kh?ng gian xanh, di chuy?n s?ch",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,8.879,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
22,B11,B-Detail,noi_dung_mau_thanh_pho_xanh.pdf,PDF,B?ng s? li?u m?u trong PDF Th?nh ph? Xanh c? nh?ng ch? s? n?o?,"C?y xanh m?i 1.250, r?c t?i ch? 8,4 t?n, ng??i tham gia 3.600, tuy?n xe ??p 12",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,10.902,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
23,A11,A-Direct,pdf_page_index.md,MD,pdf_page_index.md d?ng ?? l?m g??,Ch? m?c/tr?ch xu?t theo trang cho PDF th? gi?c m?y t?nh,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,22.068,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
24,B12,B-Detail,pdf_page_index.md,MD,Trang ??u trong pdf_page_index.md nh?c t?i n?i dung g??,T?ng quan v? th? gi?c m?y t?nh v? x? l? ?nh,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,21.178,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
25,A12,A-Direct,poster_mau_nang_luong_tai_tao.jpg,JPG,Poster JPG n?i v? ch? ?? g??,N?ng l??ng t?i t?o trong ??i s?ng,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,14.051,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
26,B13,B-Detail,poster_mau_nang_luong_tai_tao.jpg,JPG,Poster n?u nh?ng lo?i n?ng l??ng n?o?,"?i?n m?t tr?i, ?i?n gi?, sinh kh?i v? ti?t ki?m n?ng l??ng","Poster nh?ng lo?i n?ng l??ng n?o?  Poster nh?ng lo?i sau:  - Nguon nang lurgng sach nhat la phan nang lugng khong bi lang phi. - Tat thiet bi khi khong dung, dung den LED va toi uu dieu hoa la các buoc don gian. - Thong diép?ng luong tai tao khong chi la cong nghe lon cua quoc gia, ma con bat dau tu th6i quen sur dung dien c6 trách nhiem trong tung gia dinh.",poster_mau_nang_luong_tai_tao.jpg (120a682f883f430a8be00a7797509ad2_poster_mau_nang_luong_tai_tao.jpg),14.474,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
27,A13,A-Direct,RETRIEVAL_TESTING_QUESTION_SET.md,MD,B? test retrieval n?y ???c x?y d?ng ?? ki?m tra g??,Retrieval theo ngu?n/n?i dung/?a ng?n ng?/fallback,B? test retrieval n?y???c x?y d?ng?? ki?m tra g??  Câu trả lời là: B? test retrieval n?y???c x?y d?ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g?????c??ng?? ki?m tra g????,RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 3) Bang Retrieval Testing + Bo cau hoi) | RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 4) Nhom cau hoi fallback (ngoai pham vi) de test chong hallucination) | RETRIEVAL_TESTING_QUESTION_SET.md (Muc tieu:),15.93,5,5,5,5,3,5,Pass,
28,B14,B-Detail,RETRIEVAL_TESTING_QUESTION_SET.md,MD,B? test n?y li?t k? nh?ng file ?nh n?o?,"Test JPG.jpg, Test PNG.png, Test jpeg.jpeg","Câu hỏi của bạn không rõ ràng và cụ thể. Tuy nhiên, tôi có thể hiểu rằng bạn đang hỏi về danh sách các file nào được liệt kê trong tài liệu.  Dựa trên tài liệu, có 3 phần khác nhau với các file được liệt kê:  - Phần 1: Liệt kê các file pptx với các câu hỏi và đáp án. - Phần 2: Liệt kê các file ảnh (jpg, png) với các câu hỏi và đáp án. - Phần 3: Liệt kê các file khác (md, pdf, txt) với các câu hỏi và đáp án.  Nếu bạn muốn biết danh sách các file cụ thể, tôi có thể cung cấp như sau:  - File pptx: pptx.pptx - File ảnh: Test JPG.jpg, Test PNG.png - File khác: test txt.txt, Test md.md, Test pdf scan.pdf  Lưu ý rằng danh sách này không đầy đủ và có thể có thêm các file khác trong tài liệu.",RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 3) Bang Retrieval Testing + Bo cau hoi) | RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 4) Nhom cau hoi fallback (ngoai pham vi) de test chong hallucination) | RETRIEVAL_TESTING_QUESTION_SET.md (RETRIEVAL TESTING - BO CAU HOI KIEM THU THUC TE > 1) Pham vi bo test),47.79,5,5,5,5,5,5,Pass,
29,A14,A-Direct,storyboard_mau_suc_khoe_hoc_duong.jpeg,JPEG,Storyboard JPEG n?i v? ch? ?? g??,S?c kh?e h?c ???ng,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,0.602,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
30,B15,B-Detail,storyboard_mau_suc_khoe_hoc_duong.jpeg,JPEG,Storyboard m? t? bao nhi?u c?nh?,6 c?nh,Storyboard có 6 cảnh.,storyboard_mau_suc_khoe_hoc_duong.jpeg (77cbe999090941b2946887ceca3a56bc_storyboard_mau_suc_khoe_hoc_duong.jpeg),7.058,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
31,A15,A-Direct,Test docx.docx,DOCX,?? t?i nghi?n c?u trong b?o c?o l? g??,"Nghi?n c?u, ?ng d?ng m? h?nh AI, k?t h?p ?? th? tri th?c h? tr? tra c?u lu?t CNTT","RAG (RAG) cho phép hệ thống liên tục truy cập vào các văn bản luật mới nhất trong cơ sở dữ liệu vector, giúp giảm thiểu hiện tượng ""ảo giác"" của AI.","Test docx.docx (trang 44) | Test docx.docx (trang 3) | Test docx.docx (trang 15, 2.7. Các hệ thống liên quan và khoảng trống nghiên cứu)",37.205,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
32,B16,B-Detail,Test docx.docx,DOCX,Sinh vi?n th?c hi?n l? ai?,Hu?nh B? Th?nh,"Hiện nay, chatbot được chia thành hai loại chính là chatbot dựa trên quy tắc (rule-based) với phạm vi hoạt động hạn hẹp trong các lựa chọn có sẵn và chatbot dựa trên mô hình ngôn ngữ (AI-based) có khả năng tự học và xử lý các câu hỏi mở. Kiến trúc RAG bao gồm ba giai đoạn chính hoạt động tuần tự: đầu tiên là Retrieval (Truy xuất) để tìm kiếm các đoạn văn bản luật liên quan nhất từ kho dữ liệu; tiếp theo là Augmented (Tăng cường) để bổ sung các đoạn văn bản này vào câu lệnh gửi đến AI; và cuối cùng là Generation (Sinh câu trả lời) để tạo ra phản hồi hoàn chỉnh.","Test docx.docx (trang 9, 2.3. Mô hình Retrieval-Augmented Generation (RAG)) | Test docx.docx (trang 13) | Test docx.docx (trang 8, 2.1. Tổng quan về chatbot AI)",3.905,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
33,A16,A-Direct,Test jpeg.jpeg,JPEG,?nh JPEG b?o c?o n?i dung g??,B?o c?o doanh thu th?ng 05/2026,JPEG là một định dạng nén hình ảnh.,Test jpeg.jpeg (ac02acdd801d4d9780c9ecce5a2a595b_Test jpeg.jpeg),29.718,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
34,B17,B-Detail,Test jpeg.jpeg,JPEG,T?ng ??n h?ng v? t?ng doanh thu l? bao nhi?u?,"260 ??n h?ng, 78.7M",Tổng doanh thu là 78.7 triệu đồng.,Test jpeg.jpeg (ac02acdd801d4d9780c9ecce5a2a595b_Test jpeg.jpeg),0.826,5,5,5,5,5,5,Pass,
35,A17,A-Direct,Test JPG.jpg,JPG,?nh JPG OCR test c? email li?n h? n?o?,qa-team@example.com,Email liên hệ trong tài liệu: qa-team@example.com.,Test JPG.jpg (2a1d3fe49bb34684a862090bccca1375_Test JPG.jpg),0.125,5,5,5,5,5,5,Pass,
36,B18,B-Detail,Test JPG.jpg,JPG,Module n?o c? tr?ng th?i Warning?,Vector Index,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,20.933,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
37,A18,A-Direct,Test md.md,MD,RAG l? vi?t t?t c?a c?m t? n?o?,Retrieval-Augmented Generation,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,7.712,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
38,B19,B-Detail,Test md.md,MD,Fallback d?ng khi n?o?,Khi kh?ng t?m th?y context ph? h?p ?? h?n ch? hallucination,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,1.054,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
39,A19,A-Direct,Test pdf scan.pdf,PDF_SCAN,Trang 1 file scan hi?n th? nh?n g??,H?nh 1: Tre Viet Nam,"Trang 1 file scan hiển thị nhãn ""Hình 1: TreViet Nam"".",Test pdf scan.pdf (trang 1),0.122,5,5,5,5,5,5,Pass,
40,B20,B-Detail,Test pdf scan.pdf,PDF_SCAN,File scan c? bao nhi?u trang?,3 trang,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,24.842,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
41,A20,A-Direct,Test pdf.pdf,PDF,Ch??ng 1 c?a t?i li?u PDF n?i v? n?i dung g??,T?ng quan v? th? gi?c m?y t?nh v? x? l? ?nh,"Câu hỏi của bạn là: ""Chương 1 c?a t?i li?u PDF n?i v? n?i dung g??""  Câu trả lời là: Chương 1 của tài liệu PDF nói về ""Tổng quan về thị giác máy tính và xử lý ảnh"".",Test pdf.pdf (trang 1) | Test pdf.pdf (trang 2) | Test pdf.pdf (trang 5),21.111,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
42,B21,B-Detail,Test pdf.pdf,PDF,B?i th?c h?nh ch??ng 1 y?u c?u c?i th? vi?n g??,OpenCV v? Pillow,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,7.903,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
43,A21,A-Direct,Test PNG.png,PNG,Qu?n m? c?a khung gi? n?o?,07:00 - 22:00,"Quận nào của khung giờ này không rõ ràng trong tài liệu. Tuy nhiên, có thể thấy địa chỉ của quán là ""125 Nguyen Van Nghi, Go Vap, TP.HCM"".",Test PNG.png (7440a387d2504452bfad877995ce261f_Test PNG.png),0.615,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
44,B22,B-Detail,Test PNG.png,PNG,Wi-Fi c?a qu?n l? g??,MayCoffee_Free,Wi-Fi của quán là MayCoffee_Free.,Test PNG.png (7440a387d2504452bfad877995ce261f_Test PNG.png),0.45,5,5,5,5,5,5,Pass,
45,A22,A-Direct,Test pptx.pptx,PPTX,Ti?u ?? slide ??u l? g??,??????,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,53.783,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
