STT,TestID,Group,File,Type,Question,Expected,Actual,Sources,LatencySec,Correctness,Groundedness,Completeness,RetrievalQuality,FormatHandling,HallucinationRisk,Conclusion,ErrorNote
17,A08,A-Direct,ke_hoach_mau_du_lich_da_lat.md,MD,Ke hoach Markdown nay noi ve chuyen di nao?,Du lich Da Lat,Ke hoạch Markdown này nói về chuyến đi Đà Lạt.,ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 1. Mục tiêu chuyến đi) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 8. Rủi ro và phương án xử lý),34.561,5,5,5,5,5,5,Pass,
18,B09,B-Detail,ke_hoach_mau_du_lich_da_lat.md,MD,Nhom gia dinh gom bao nhieu nguoi va di chuyen bang gi?,"4 nguoi, xe khach tu TP.HCM",Nhóm gia đình gồm 4 người.,ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 1. Mục tiêu chuyến đi) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 6. Bảng chi phí dự kiến),22.476,5,5,5,5,5,5,Pass,
19,A09,A-Direct,nhat_ky_mau_vuon_rau_do_thi.txt,TXT,Nhat ky TXT noi ve du an gi?,Vuon rau do thi tren san thuong,"Dự án vườn rau đô thị trên sân thượng được thực hiện để tạo ra một mô hình sống xanh, giảm lãng phí và giúp mọi người hiểu hơn về quá trình tạo ra thức ăn.",nhat_ky_mau_vuon_rau_do_thi.txt (NHẬT KÝ MẪU: DỰ ÁN VƯỜN RAU ĐÔ THỊ TRÊN SÂN THƯỢNG) | nhat_ky_mau_vuon_rau_do_thi.txt | nhat_ky_mau_vuon_rau_do_thi.txt (9. KẾT LUẬN),19.413,5,5,5,5,5,5,Pass,
20,B10,B-Detail,nhat_ky_mau_vuon_rau_do_thi.txt,TXT,Dien tich san thuong ban dau khoang bao nhieu?,Khoang 30 met vuong,Diện tích sân thượng ban đầu khoảng 30 mét vuông.,nhat_ky_mau_vuon_rau_do_thi.txt | nhat_ky_mau_vuon_rau_do_thi.txt (NHẬT KÝ MẪU: DỰ ÁN VƯỜN RAU ĐÔ THỊ TRÊN SÂN THƯỢNG),29.139,5,5,5,5,5,5,Pass,
21,A10,A-Direct,noi_dung_mau_thanh_pho_xanh.pdf,PDF,PDF Thanh pho Xanh 2030 huong den muc tieu gi?,"Giam rac thai nhua, tang khong gian xanh, di chuyen sach","Mục tiêu chính của Dự án Thành phố Xanh 2030 là giảm rác thải nhựa, tăng không gian xanh và xây dựng thói quen di chuyển sạch như đi bộ, xe đạp hoặc phương tiện công cộng.",noi_dung_mau_thanh_pho_xanh.pdf (trang 1),22.972,5,5,5,5,5,5,Pass,
22,B11,B-Detail,noi_dung_mau_thanh_pho_xanh.pdf,PDF,Bang so lieu mau trong PDF Thanh pho Xanh co nhung chi so nao?,"Cay xanh moi 1.250, rac tai che 8,4 tan, nguoi tham gia 3.600, tuyen xe dap 12","bản, bảng và bố cục cơ bản trong một file PDF.",noi_dung_mau_thanh_pho_xanh.pdf (trang 1),1.007,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
23,A11,A-Direct,pdf_page_index.md,MD,pdf_page_index.md dung de lam gi?,Chi muc/trich xuat theo trang cho PDF thi giac may tinh,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,15.402,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
24,B12,B-Detail,pdf_page_index.md,MD,Trang dau trong pdf_page_index.md nhac toi noi dung gi?,Tong quan ve thi giac may tinh va xu ly anh,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,31.17,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
25,A12,A-Direct,poster_mau_nang_luong_tai_tao.jpg,JPG,Poster JPG noi ve chu de gi?,Nang luong tai tao trong doi song,"Poster JPG này nói về chủ đề: ""Năng lượng tái tạo trong đời sống"".",poster_mau_nang_luong_tai_tao.jpg (120a682f883f430a8be00a7797509ad2_poster_mau_nang_luong_tai_tao.jpg),0.845,5,5,5,5,5,5,Pass,
26,B13,B-Detail,poster_mau_nang_luong_tai_tao.jpg,JPG,Poster neu nhung loai nang luong nao?,"Dien mat troi, dien gio, sinh khoi va tiet kiem nang luong",Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,13.169,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
27,A13,A-Direct,RETRIEVAL_TESTING_QUESTION_SET.md,MD,Bo test retrieval nay duoc xay dung de kiem tra gi?,Retrieval theo nguon/noi dung/da ngon ngu/fallback,"Câu hỏi: Bo test retrieval nay duoc xay dung de kiem tra gi? Trả lời: Bo test retrieval nay duoc xay dung de kiem tra retrieval, bao gom cac khong gian kiem tra theo nguon, noi dung, ngon ngu va fallback.",RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 3) Bang Retrieval Testing + Bo cau hoi) | RETRIEVAL_TESTING_QUESTION_SET.md (Muc tieu:) | RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 4) Nhom cau hoi fallback (ngoai pham vi) de test chong hallucination),47.243,5,5,5,5,5,5,Pass,
28,B14,B-Detail,RETRIEVAL_TESTING_QUESTION_SET.md,MD,Bo test nay liet ke nhung file anh nao?,"Test JPG.jpg, Test PNG.png, Test jpeg.jpeg","Bo test nay duoc xay dung truc tiep tu bo file trong thu muc: | RQ-PDFSCAN-02 | Test pdf scan.pdf | Co trich duoc email hoac so dien thoai tu file scan nay khong? | RQ-PPTX-04 | Test pptx.pptx | Slide nao noi ve thoi gian gan bo cong ty? | RQ-PDFSCAN-01 | Test pdf scan.pdf | Tai lieu scan co noi dung text ro rang nao ngoai ""Hinh 1/2/3"" khong? | RQ-PDFSCAN-03 | Test pdf scan.pdf | Trang nao chua noi dung chi tiet nhat?",RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 3) Bang Retrieval Testing + Bo cau hoi) | RETRIEVAL_TESTING_QUESTION_SET.md (5. Danh dau ket qua: > 4) Nhom cau hoi fallback (ngoai pham vi) de test chong hallucination) | RETRIEVAL_TESTING_QUESTION_SET.md (RETRIEVAL TESTING - BO CAU HOI KIEM THU THUC TE > 1) Pham vi bo test),28.767,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
29,A14,A-Direct,storyboard_mau_suc_khoe_hoc_duong.jpeg,JPEG,Storyboard JPEG noi ve chu de gi?,Suc khoe hoc duong,"Câu hỏi của bạn là ""Storyboard JPEG noi ve chu de gi?"" (Storyboard JPEG nói về chủ đề gì?). Dựa trên tài liệu, storyboard JPEG này nói về chủ đề ""Sức khỏe học đường"" (Surc khoe hoc duong).",storyboard_mau_suc_khoe_hoc_duong.jpeg (77cbe999090941b2946887ceca3a56bc_storyboard_mau_suc_khoe_hoc_duong.jpeg),12.226,5,5,5,5,5,5,Pass,
30,B15,B-Detail,storyboard_mau_suc_khoe_hoc_duong.jpeg,JPEG,Storyboard mo ta bao nhieu canh?,6 canh,Storyboard mô tả 6 cảnh.,storyboard_mau_suc_khoe_hoc_duong.jpeg (77cbe999090941b2946887ceca3a56bc_storyboard_mau_suc_khoe_hoc_duong.jpeg),13.151,5,5,5,5,5,5,Pass,
31,A15,A-Direct,Test docx.docx,DOCX,De tai nghien cuu trong bao cao la gi?,"Nghien cuu, ung dung mo hinh AI, ket hop do thi tri thuc ho tro tra cuu luat CNTT","Dự án không chỉ đạt được các cột mốc về mặt kỹ thuật mà còn chứng minh được tính thực tiễn cao trong việc hỗ trợ tiếp cận pháp luật số. Thay vì chỉ tìm kiếm theo từ khóa đơn thuần, hệ thống định vị các ""điểm neo"" tri thức trên đồ thị, xác định xem câu hỏi đang nhắm tới bộ luật, hành vi hay đối tượng cụ thể nào.Hệ thống đóng vai trò như một chuyên gia pháp lý thực thụ khi vận hành song song hai luồng tư duy: Truy xuất ngữ nghĩa: Sử dụng mô hình DEk21 để tìm kiếm các đoạn văn bản có sự tương đồng cao nhất trong không gian vector của Qdrant. Chưa hỗ trợ Streaming: Người dùng hiện phải chờ mô hình Gemini hoàn thành toàn bộ quá trình suy luận và sinh văn bản trước khi nhận được phản hồi, thay vì nhận được câu trả lời dạng dòng chảy (streaming), dẫn đến cảm giác độ trễ cao trong các câu hỏi dài. Phụ thuộc API Cloud: Việc dựa hoàn toàn vào hạ tầng đám mây tạo ra thách thức về chi phí vận hành v","Test docx.docx (trang 16) | Test docx.docx (trang 40, 6.1. Kết luận)",26.71,1,3,1,5,3,3,Fail,Answer mismatch/fallback sai
32,B16,B-Detail,Test docx.docx,DOCX,Sinh vien thuc hien la ai?,Huynh Ba Thanh,Sinh viên thực hiện là Huỳnh Bá Thành.,"Test docx.docx (trang 1, BÁO CÁO THỰC TẬP TỐT NGHIỆP) | Test docx.docx (trang 4, LỜI CẢM ƠN) | Test docx.docx (trang 3)",11.752,5,5,5,5,5,5,Pass,
33,A16,A-Direct,Test jpeg.jpeg,JPEG,Anh JPEG bao cao noi dung gi?,Bao cao doanh thu thang 05/2026,"Báo cáo này bao gồm thông tin về doanh thu tháng 05/2026 của một công ty. Báo cáo này bao gồm các thông tin sau: - Doanh thu theo tuần (triệu đồng) - Tổng doanh thu - Số lượng đơn hàng - Thông tin về kênh bán hàng (Online, Store, Delivery) Báo cáo này cho thấy doanh thu của công ty đạt mức cao nhất trong tuần 4.",Test jpeg.jpeg (ac02acdd801d4d9780c9ecce5a2a595b_Test jpeg.jpeg),10.347,5,5,5,5,5,5,Pass,
34,B17,B-Detail,Test jpeg.jpeg,JPEG,Tong don hang va tong doanh thu la bao nhieu?,"260 don hang, 78.7M",Tổng đơn hàng và tổng doanh thu là 260 và 78.7 triệu đồng.,Test jpeg.jpeg (ac02acdd801d4d9780c9ecce5a2a595b_Test jpeg.jpeg),10.284,5,5,5,5,5,5,Pass,
35,A17,A-Direct,Test JPG.jpg,JPG,Anh JPG OCR test co email lien he nao?,qa-team@example.com,Email liên hệ trong tài liệu: qa-team@example.com.,Test JPG.jpg (2a1d3fe49bb34684a862090bccca1375_Test JPG.jpg),0.424,5,5,5,5,5,5,Pass,
36,B18,B-Detail,Test JPG.jpg,JPG,Module nao co trang thai Warning?,Vector Index,Module có trạng thái Warning là Vector Index và Warning.,Test JPG.jpg (2a1d3fe49bb34684a862090bccca1375_Test JPG.jpg),11.981,5,5,5,5,5,5,Pass,
37,A18,A-Direct,Test md.md,MD,RAG la viet tat cua cum tu nao?,Retrieval-Augmented Generation,RAG là viết tắt của Retrieval-Augmented Generation.,Test md.md (2. Bối cảnh phát triển AI Document Chat > 2.2. Lợi ích của hệ thống dựa trên RAG) | Test md.md (Phụ lục A. Bộ câu hỏi kiểm thử mẫu) | Test md.md (Phụ lục B. Bảng thuật ngữ),19.265,5,5,5,5,5,5,Pass,
38,B19,B-Detail,Test md.md,MD,Fallback dung khi nao?,Khi khong tim thay context phu hop de han che hallucination,"Nếu tài liệu truy xuất không đủ liên quan, hệ thống nên trả fallback thay vì cố gắng trả lời.",Test md.md (Phụ lục C. Đoạn văn bản dài để kiểm thử chunking) | Test md.md (2. Bối cảnh phát triển AI Document Chat),0.356,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
39,A19,A-Direct,Test pdf scan.pdf,PDF_SCAN,Trang 1 file scan hien thi nhan gi?,Hinh 1: Tre Viet Nam,"Trang 1 file scan hiển thị nhãn ""Hình 1: TreViet Nam"".",Test pdf scan.pdf (trang 1),0.341,5,5,5,5,5,5,Pass,
40,B20,B-Detail,Test pdf scan.pdf,PDF_SCAN,File scan co bao nhieu trang?,3 trang,Tài liệu có 3 trang.,Test pdf scan.pdf (trang 1),0.311,5,5,5,5,5,5,Pass,
41,A20,A-Direct,Test pdf.pdf,PDF,Chuong 1 cua tai lieu PDF noi ve noi dung gi?,Tong quan ve thi giac may tinh va xu ly anh,Chương 1 nói về Tổng quan về thị giác máy tính và xử lý ảnh.,Test pdf.pdf (trang 18) | Test pdf.pdf (trang 6) | Test pdf.pdf (trang 1),0.559,5,5,5,5,5,5,Pass,
42,B21,B-Detail,Test pdf.pdf,PDF,Bai thuc hanh chuong 1 yeu cau cai thu vien gi?,OpenCV va Pillow,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,2.834,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
43,A21,A-Direct,Test PNG.png,PNG,Quan mo cua khung gio nao?,07:00 - 22:00,"Quan mô của quán cà phê May là Go Vap, TP.HCM.",Test PNG.png (7440a387d2504452bfad877995ce261f_Test PNG.png),1.142,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
44,B22,B-Detail,Test PNG.png,PNG,Wi-Fi cua quan la gi?,MayCoffee_Free,Wi-Fi của quán là MayCoffee_Free.,Test PNG.png (7440a387d2504452bfad877995ce261f_Test PNG.png),9.524,5,5,5,5,5,5,Pass,
45,A22,A-Direct,Test pptx.pptx,PPTX,Tieu de slide dau la gi?,オフィス業務,"Tiêu đề slide đầu là ""オフィス業務"".","Test pptx.pptx (slide 1, オフィス業務)",55.558,5,5,5,5,5,5,Pass,
46,B23,B-Detail,Test pptx.pptx,PPTX,Bai giang khuyen nghi lam viec toi thieu bao lau o cung cong ty?,3 nam / 最低3年間,Bài giảng khuyến nghị làm việc tối thiểu 3 năm ở cùng công ty: 最低3年間は、同じ会社で働きましょう。.,"Test pptx.pptx (slide 25, 最低３年間は、同じ会社で働きましょう！) | Test pptx.pptx (slide 14, 日本人は、どんな人と一緒に仕事がしたいと考えていますか？) | Test pptx.pptx (slide 24, 多くの会社で働いた経験がある)",0.857,5,5,5,5,5,5,Pass,
47,A23,A-Direct,test txt.txt,TXT,Du lich sinh thai la gi?,"Du lich gan voi thien nhien, van hoa dia phuong va bao ve moi truong","Du lịch sinh thái là hình thức du lịch gắn liền với thiên nhiên, văn hóa địa phương và trách nhiệm bảo vệ môi trường.",test txt.txt (DU LỊCH SINH THÁI Ở VIỆT NAM) | test txt.txt (2. ĐẶC ĐIỂM CỦA DU LỊCH SINH THÁI),24.711,5,5,5,5,5,5,Pass,
48,B24,B-Detail,test txt.txt,TXT,Can Gio co vai tro gi trong he sinh thai?,"Khu du tru sinh quyen, bao ve bo bien, hap thu carbon","Cần Giờ có vai trò quan trọng trong việc bảo vệ bờ biển, hấp thụ carbon và duy trì đa dạng sinh học.",test txt.txt | test txt.txt (9. CÂU HỎI KIỂM THỬ MẪU) | test txt.txt (7. VAI TRÒ CỦA CÔNG NGHỆ),29.038,5,5,5,5,5,5,Pass,
49,E02,E-Format,Test xlsx.xlsx,XLSX,Workbook Test xlsx co bao nhieu sheet va ten gi?,"3 sheet: Sheet4, Sheet2, Sheet1","Tài liệu có 2 sheet: Sheet4, Sheet2.","Test xlsx.xlsx (sheet Sheet4) | Test xlsx.xlsx (sheet Sheet4, A1:Z1000)",0.608,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
50,B25,B-Detail,Test xlsx.xlsx,XLSX,"O Sheet1, thi sinh No.1 co tong diem va ket qua gi?",34 va 合格,"Ở Sheet1, thí sinh No.1 có 総計: 34; 結果: 合格.","Test xlsx.xlsx (sheet Sheet1, A1:Z1000) | Test xlsx.xlsx (sheet Sheet1)",0.774,5,5,5,5,5,5,Pass,
51,C01,C-Summary,bao_cao_mau_chuyen_doi_so_giao_duc.pdf,PDF,Tom tat file PDF chuyen doi so giao duc trong 5 y ngan.,Tom tat dung ve chuyen doi so giao duc,"Câu hỏi của bạn không rõ ràng và cụ thể, nhưng tôi sẽ cố gắng trả lời dựa trên thông tin trong tài liệu. Để chuyển đổi số trong giáo dục trong 5 năm, tài liệu đề xuất các bước sau: 1. Bắt đầu từ quy trình có tác động lớn nhưng dễ triển khai như điểm danh, học liệu và thông báo. 2. Thiết kế giao diện đơn giản, ưu tiên thao tác quen thuộc với giáo viên và học sinh. 3. Đào tạo theo tình huống thực tế thay vì chỉ giới thiệu tính năng. 4. Đo lường hiệu quả bằng số liệu cụ thể sau từng giai đoạn. 5. Xây dựng chính sách bảo mật, sao lưu và phân quyền ngay từ đầu. Tài liệu cũng đề xuất một mô hình hệ thống gồm bốn lớp chính: * Lớp giao diện người dùng * Lớp dịch vụ nghiệp vụ * Lớp dữ liệu * Lớp bảo mật và tích hợp Mục tiêu của chuyển đổi số trong giáo dục là tiết kiệm thời gian, tăng tính minh bạch và hỗ trợ học sinh hiệu quả hơn. Tôi hy vọng thông tin này hữu ích!",bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 3) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 1) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 4) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 2),27.39,5,5,5,5,5,5,Pass,
52,C02,C-Summary,file_excel_mau_song_xanh.xlsx,XLSX,Tom tat file Excel song xanh nay noi ve du lieu gi.,Chien dich song xanh trong truong hoc,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,3.18,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
