ID,File,Loại file,Nhóm,Câu hỏi,Đáp án chuẩn,Câu trả lời hệ thống,Nguồn/Citation,Retrieval,Citation,Answer,Điểm,Hallucination,Mức độ lỗi,Ghi chú,Đề xuất fix,Latency ms
DIR-032,md_01_workshop_thuyet_trinh.md,MD,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""md_01_workshop_thuyet_trinh.md"".",Mục tiêu,Người tham gia nên chuẩn bị trước một chủ đề ngắn. Mỗi bài nói thử không quá 2 phút để đủ thời gian cho nhiều lượt phản hồi.,md_01_workshop_thuyet_trinh.md (Kế hoạch workshop kỹ năng thuyết trình > Ghi chú) | md_01_workshop_thuyet_trinh.md (Kế hoạch workshop kỹ năng thuyết trình > Mục tiêu) | md_01_workshop_thuyet_trinh.md (Kế hoạch workshop kỹ năng thuyết trình > Lịch trình),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,18342.08
DIR-035,nhat_ky_mau_vuon_rau_do_thi.txt,TXT,Direct,"Tài liệu ""nhat_ky_mau_vuon_rau_do_thi.txt"" nói về nội dung gì?",NHẬT KÝ MẪU: DỰ ÁN VƯỜN RAU ĐÔ THỊ TRÊN SÂN THƯỢNG,"Tài liệu ""nhat_ky_mau_vuon_rau_do_thi.txt"" nói về dự án vườn rau đô thị trên sân thượng, bao gồm việc tận dụng khoảng không gian trống trong nhà phố để trồng rau ăn lá, rau thơm và cây gia vị, tạo ra một mô hình sống xanh và giảm lãng phí.",nhat_ky_mau_vuon_rau_do_thi.txt (NHẬT KÝ MẪU: DỰ ÁN VƯỜN RAU ĐÔ THỊ TRÊN SÂN THƯỢNG) | nhat_ky_mau_vuon_rau_do_thi.txt (2. MỤC TIÊU CỦA DỰ ÁN) | nhat_ky_mau_vuon_rau_do_thi.txt,Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,22346.42
DIR-043,pdf_page_index.md,MD,Direct,"Tài liệu ""pdf_page_index.md"" nói về nội dung gì?",Test pdf.pdf > Page 1,"Tài liệu ""pdf_page_index.md"" nói về các khái niệm cơ bản về Thị giác máy tính và Xử lý ảnh, bao gồm: - Định nghĩa và quan hệ giữa Thị giác máy tính và Xử lý ảnh - Các khái niệm cơ bản về ảnh, như không gian màu và thuật toán xử lý ảnh cơ bản - Các thư viện và công cụ hỗ trợ cho Thị giác máy tính và Xử lý ảnh, như OpenCV, scikit-image và TensorFlow/Keras - Ứng dụng thực tế của Thị giác máy tính trong các lĩnh vực khác nhau Tài liệu này cung cấp thông tin tổng quan về Thị giác máy tính và Xử lý ảnh, bao gồm cả định nghĩa, khái niệm cơ bản và các ứng dụng thực tế.",pdf_page_index.md (First 3 non-empty lines:) | pdf_page_index.md (- Chương 1:) | pdf_page_index.md (- 1. Biến đổi không gian:),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,15619.14
DIR-044,pdf_page_index.md,MD,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""pdf_page_index.md"".",Test pdf.pdf > Page 1,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,Kiểm tra chunking/retrieval/reranking và ngưỡng fallback cho file liên quan.,17352.69
DIR-051,pptx_01_du_lich_can_tho.pptx,PPTX,Direct,"Tài liệu ""pptx_01_du_lich_can_tho.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 2-5,"Tài liệu ""pptx_01_du_lich_can_tho.pptx"" nói về lịch trình và kế hoạch cho một chuyến du lịch đến Cần Thơ.",pptx_01_du_lich_can_tho.pptx (slide 3) | pptx_01_du_lich_can_tho.pptx (slide 5) | pptx_01_du_lich_can_tho.pptx (slide 1),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,30664.13
DIR-052,pptx_01_du_lich_can_tho.pptx,PPTX,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""pptx_01_du_lich_can_tho.pptx"".",Slide: 1 > Slide 1 > Blocks: 2-5,"Thông tin cụ thể xuất hiện trong file ""pptx_01_du_lich_can_tho.pptx"" là: Nguyên tắc: giữ lịch trình linh hoạt, không ép nhóm đi quá nhiều điểm trong một ngày. Hoặc: Điểm mạnh của kế hoạch là thời gian di chuyển ngắn, hoạt động đa dạng và có khoảng nghỉ.",pptx_01_du_lich_can_tho.pptx (slide 5) | pptx_01_du_lich_can_tho.pptx (slide 4) | pptx_01_du_lich_can_tho.pptx (slide 3),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,9519.63
DIR-053,pptx_02_trong_cay_truong_hoc.pptx,PPTX,Direct,"Tài liệu ""pptx_02_trong_cay_truong_hoc.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 2-5,"Tài liệu ""pptx_02_trong_cay_truong_hoc.pptx"" nói về việc trồng cây trong trường học.",pptx_02_trong_cay_truong_hoc.pptx (slide 5) | pptx_02_trong_cay_truong_hoc.pptx (slide 3) | pptx_02_trong_cay_truong_hoc.pptx (slide 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,9336.33
DIR-054,pptx_02_trong_cay_truong_hoc.pptx,PPTX,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""pptx_02_trong_cay_truong_hoc.pptx"".",Slide: 1 > Slide 1 > Blocks: 2-5,"Báo cáo cuối chiến dịch nên có số cây sống, số cây cần thay, ảnh minh chứng và đề xuất duy trì trong tháng sau.",pptx_02_trong_cay_truong_hoc.pptx (slide 4) | pptx_02_trong_cay_truong_hoc.pptx (slide 1) | pptx_02_trong_cay_truong_hoc.pptx (slide 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,38519.62
DIR-064,Test JPG.jpg,JPG,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""Test JPG.jpg"".",cb467cc5db3c48429e68a3e690bb161b_Test JPG.jpg,Ngày 14/05/2026.,Test JPG.jpg (cb467cc5db3c48429e68a3e690bb161b_Test JPG.jpg),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,18312.17
DIR-065,Test md.md,MD,Direct,"Tài liệu ""Test md.md"" nói về nội dung gì?",Trí tuệ nhân tạo trong hệ thống hỏi đáp tài liệu,"Khi hệ thống xử lý tài liệu, nó cần chia nội dung thành các đoạn nhỏ nhưng vẫn giữ được mối liên kết về ngữ nghĩa. Vì vậy, các tài liệu kiểm thử nên có nhiều loại cấu trúc khác nhau như heading, bảng, danh sách, đoạn văn dài, code block và nội dung có thuật ngữ chuyên ngành. Tự động trích xuất nội dung từ tài liệu. Ngoài ra, tài liệu cũng có thể dùng để kiểm tra khả năng hiển thị citation và fallback khi người dùng hỏi các thông tin không xuất hiện trong nội dung. Thay vì so khớp từ khóa đơn thuần, hệ thống chuyển nội dung tài liệu và câu hỏi thành vector embedding.",Test md.md (Phụ lục C. Đoạn văn bản dài để kiểm thử chunking) | Test md.md (2. Bối cảnh phát triển AI Document Chat) | Test md.md (Các mục tiêu cụ thể gồm:),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2956.01
DIR-069,Test pdf.pdf,PDF,Direct,"Tài liệu ""Test pdf.pdf"" nói về nội dung gì?",Page: 1 > File: c4220cd9dc7b4b1292798be9a6c655a0_Test pdf.pdf,"OpenCV - Cộng đồng người dùng lớn, nhiều tài liệu và ví dụ sẵn có. Xử lý ảnh tập trung vào việc biến đổi hình ảnh Thị giác máy tính hướng tới việc hiểu nội dung Xử lý ảnh tập trung vào việc biến đổi hình ảnh Thị giác máy tính hướng tới việc hiểu nội dung dựa trên nội dung (ví dụ: ảnh phong cảnh, ảnh TensorFlow, Keras - Cộng đồng người dùng lớn, nhiều tài liệu và ví dụ sẵn có.",Test pdf.pdf (trang 14) | Test pdf.pdf (trang 6) | Test pdf.pdf (trang 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2557.79
DIR-070,Test pdf.pdf,PDF,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""Test pdf.pdf"".",Page: 1 > File: c4220cd9dc7b4b1292798be9a6c655a0_Test pdf.pdf,"Giảm thiểu lỗi: Máy tính có thể thực hiện các phép đo và phân tích hình ảnh với độ Dữ liệu huấn luyện: Để huấn luyện các mô hình thị giác máy tính, cần một Ảnh có thể được định nghĩa là một hàm 2 chiều f(x, y), trong đó x và y là các tọa VIỆN CÔNG NGHỆ THÔNG TIN, ĐIỆN, ĐIỆN TỬ ● Thuật toán tối ưu: Các thuật toán mới sẽ được phát triển để giảm thiểu tính ● Hoạt động ngoại tuyến: Các thiết bị có thể thực hiện các để đảm bảo thông tin cá nhân của người dùng không bị.",Test pdf.pdf (trang 17) | Test pdf.pdf (trang 14) | Test pdf.pdf (trang 1),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2497.3
DIR-072,Test PNG.png,PNG,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""Test PNG.png"".",b82666e7786846928e815761b567733d_Test PNG.png,"Thông tin cụ thể xuất hiện trong file ""Test PNG.png"" là địa chỉ của quán cà phê: 125 Nguyen Van Nghi, Go Vap, TP.HCM.",Test PNG.png (b82666e7786846928e815761b567733d_Test PNG.png),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2901.8
DIR-073,Test pptx.pptx,PPTX,Direct,"Tài liệu ""Test pptx.pptx"" nói về nội dung gì?",Slide: 1 > オフィス業務 > Blocks: 2-2,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,"Bổ sung metadata slide/title/shape, ưu tiên slide filter và citation theo slide.",2393.58
DIR-074,Test pptx.pptx,PPTX,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""Test pptx.pptx"".",Slide: 1 > オフィス業務 > Blocks: 2-2,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,"Bổ sung metadata slide/title/shape, ưu tiên slide filter và citation theo slide.",2558.08
DIR-077,Test xlsx.xlsx,XLSX,Direct,"Tài liệu ""Test xlsx.xlsx"" nói về nội dung gì?",Sheet: Sheet4 > Sheet4,"tài liệu dạng bảng gồm 2 sheet (Sheet4, Sheet2); các cột chính gồm No., 受験番号, 氏名, 性別, 学科名, 日本語; số dòng dữ liệu đang có khoảng 35. Bạn muốn mình phân tích tiếp theo cột hoặc nhóm dữ liệu nào?","Test xlsx.xlsx (sheet Sheet2, A1:Z1000) | Test xlsx.xlsx (sheet Sheet1, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,1124.0
DIR-078,Test xlsx.xlsx,XLSX,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""Test xlsx.xlsx"".",Sheet: Sheet4 > Sheet4,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,"Tăng structured extraction cho Excel/bảng, giữ header/sheet/row metadata và ưu tiên table retriever.",3023.81
DIR-080,txt_01_nhat_ky_vuon_rau.txt,TXT,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""txt_01_nhat_ky_vuon_rau.txt"".",NHẬT KÝ VƯỜN RAU BAN CÔNG,Cải xanh nảy mầm nhanh sau 2 ngày.,txt_01_nhat_ky_vuon_rau.txt (NHẬT KÝ VƯỜN RAU BAN CÔNG) | txt_01_nhat_ky_vuon_rau.txt,Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,9180.37
DIR-088,content_summary.md,MD,Direct,"Trong file ""content_summary.md"", ý hoặc mục nào liên quan đến ""png""?",Test PNG.png (PNG),"3.3.1. - Độ chính xác và Khả năng kiểm soát ảo giác (Accuracy & Grounding) - Trong pha Offline, hệ thống thực hiện xử lý dữ liệu nguồn từ các văn bản pháp luật (DOCX), trích xuất metadata và áp dụng kỹ thuật phân mảnh dữ liệu 4 tầng (4-tier chunking) để xây dựng cấu trúc phân - ""chuong_so"": ""1"", ""chuong_ten"": ""Quy định chung"", - TEXT INDEX entity_name_idx FOR (n:Entity) ON n.name - 3.7.4. - Tổng hợp và Phản hồi có Căn cứ - Để đảm bảo mô hình không chỉ phản hồi đúng mà còn chuyên nghiệp và chặt chẽ, hệ thống áp dụng chiến lược thiết kế câu lệnh kết hợp giữa hai phương pháp tối ưu:.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- TÓM TẮT),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2571.33
DIR-089,Test md.md,MD,Direct,"Trong file ""Test md.md"", ý hoặc mục nào liên quan đến ""gioi""?",1. Giới thiệu chung,"Ví dụ, câu “hệ thống dùng cơ sở dữ liệu nào” và đoạn “metadata được lưu trong PostgreSQL” có thể không giống nhau hoàn toàn về từ khóa, nhưng có liên quan về ý nghĩa. Những đoạn có ý nghĩa gần nhau sẽ có vector gần nhau, giúp hệ thống tìm được nội dung liên quan ngay cả khi cách diễn đạt khác nhau. Thay vào đó, hệ thống tìm các chunk liên quan trong vector index. Câu trả lời nên cho biết thông tin được lấy từ file nào, trang nào hoặc slide nào. Nếu đoạn văn bị cắt sai vị trí, câu trả lời của hệ thống có thể thiếu thông tin hoặc hiểu sai ý nghĩa.",Test md.md (2. Bối cảnh phát triển AI Document Chat) | Test md.md (Phụ lục C. Đoạn văn bản dài để kiểm thử chunking) | Test md.md (6. Vai trò của embedding và vector database),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,22416.88
DIR-090,Test xlsx.xlsx,XLSX,Direct,"Trong file ""Test xlsx.xlsx"", ý hoặc mục nào liên quan đến ""sheet4""?",Sheet: Sheet4 > Table: used_range_1 > Rows: 5-6,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,"Tăng structured extraction cho Excel/bảng, giữ header/sheet/row metadata và ưu tiên table retriever.",2953.56
SUM-001,AI Document Question Answering System.pptx,PPTX,Summary,"Tóm tắt ngắn file ""AI Document Question Answering System.pptx"" trong 3 ý.",Tóm tắt có các ý chính: blocks,"Dưới đây là tóm tắt ngắn file ""AI Document Question Answering System.pptx"" trong 3 ý: * **Giới thiệu đề tài**: AI Document Question Answering System là hệ thống hỏi đáp tài liệu AI hỗ trợ upload nhiều định dạng, quản lý tài liệu theo workspace, hỏi đáp bằng ngôn ngữ tự nhiên và trả lời dựa trên tài liệu. * **Kiến trúc tổng thể**: Hệ thống bao gồm Frontend web, Backend FastAPI, Upload Job Worker, Data layer và AI layer. Frontend web quản lý workspace, upload, chat và theo dõi tiến độ. Backend FastAPI thực hiện các chức năng như auth, workspace, message, upload, ask và admin. * **Chức năng chính**: Hệ thống hỗ trợ các chức năng như tạo/đổi tên/xóa workspace, quản lý tin nhắn và tài liệu, upload đa định dạng, hỏi đáp theo tài liệu đã ingest, hỗ trợ phản hồi thường và stream, theo dõi upload job, retry job lỗi và export hội thoại ra PDF.",AI Document Question Answering System.pptx (slide 7) | AI Document Question Answering System.pptx (slide 3) | AI Document Question Answering System.pptx (slide 6) | AI Document Question Answering System.pptx (slide 9) | AI Document Question Answering System.pptx (slide 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,42724.29
