ID,Run,File,FileType,Group,Question,Expected,Actual,Sources,Retrieval,Citation,Answer,Score,Hallucination,Severity,Notes,Fix,LatencyMs
B300-DIR-051,Base 300,pptx_01_du_lich_can_tho.pptx,PPTX,Base 300,"Tài liệu ""pptx_01_du_lich_can_tho.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 2-5,"Tài liệu ""pptx_01_du_lich_can_tho.pptx"" có các ý chính: - Lịch trình Cần Thơ cuối tuần - Gợi ý 2 ngày 1 đêm cho nhóm bạn nhỏ - Mục tiêu chuyến đi - Đi nhẹ, ăn ngon, chụp ảnh đẹp và không dồn lịch quá dày. Kế hoạch ưu tiên trải nghiệm địa phương, di chuyển ngắn và có thời gian nghỉ. - 2 ngày.",pptx_01_du_lich_can_tho.pptx (slide 1) | pptx_01_du_lich_can_tho.pptx (slide 5) | pptx_01_du_lich_can_tho.pptx (slide 3),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,427.6
B300-DIR-052,Base 300,pptx_01_du_lich_can_tho.pptx,PPTX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""pptx_01_du_lich_can_tho.pptx"".",Slide: 1 > Slide 1 > Blocks: 2-5,"Một thông tin cụ thể trong ""pptx_01_du_lich_can_tho.pptx"" là: Lịch trình Cần Thơ cuối tuần.",pptx_01_du_lich_can_tho.pptx (slide 5) | pptx_01_du_lich_can_tho.pptx (slide 4) | pptx_01_du_lich_can_tho.pptx (slide 1),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,468.54
B300-DIR-053,Base 300,pptx_02_trong_cay_truong_hoc.pptx,PPTX,Base 300,"Tài liệu ""pptx_02_trong_cay_truong_hoc.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 2-5,"Tài liệu ""pptx_02_trong_cay_truong_hoc.pptx"" có các ý chính: - Chiến dịch trồng cây trường học - Kế hoạch 4 tuần cho khuôn viên xanh hơn - Ý tưởng chính - Chiến dịch kết hợp giáo dục môi trường, hoạt động nhóm và theo dõi cây sau khi trồng. Mục tiêu không chỉ là trồng nhiều cây mà còn duy trì cây sống tốt. - Xanh hơn.",pptx_02_trong_cay_truong_hoc.pptx (slide 1) | pptx_02_trong_cay_truong_hoc.pptx (slide 5) | pptx_02_trong_cay_truong_hoc.pptx (slide 4),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,366.84
B300-DIR-054,Base 300,pptx_02_trong_cay_truong_hoc.pptx,PPTX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""pptx_02_trong_cay_truong_hoc.pptx"".",Slide: 1 > Slide 1 > Blocks: 2-5,"Một thông tin cụ thể trong ""pptx_02_trong_cay_truong_hoc.pptx"" là: Chiến dịch trồng cây trường học.",pptx_02_trong_cay_truong_hoc.pptx (slide 5) | pptx_02_trong_cay_truong_hoc.pptx (slide 4) | pptx_02_trong_cay_truong_hoc.pptx (slide 3),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,445.72
B300-DIR-060,Base 300,Test docx.docx,DOCX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""Test docx.docx"".",BÁO CÁO THỰC TẬP TỐT NGHIỆP,"Một thông tin cụ thể trong ""Test docx.docx"" là: BÁO CÁO THỰC TẬP TỐT NGHIỆP.","Test docx.docx (trang 29) | Test docx.docx (trang 35, CHƯƠNG 5: KIỂM THỬ & ĐÁNH GIÁ > 5.1. Kịch bản kiểm thử) | Test docx.docx (trang 38, 5.3. Đánh giá chất lượng câu trả lời)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,589.8
B300-DIR-070,Base 300,Test pdf.pdf,PDF,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""Test pdf.pdf"".",Page: 1 > File: c4220cd9dc7b4b1292798be9a6c655a0_Test pdf.pdf,"Một thông tin cụ thể trong ""Test pdf.pdf"" là: paragraph.",Test pdf.pdf (trang 17) | Test pdf.pdf (trang 1) | Test pdf.pdf (trang 14),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,375.17
B300-DIR-074,Base 300,Test pptx.pptx,PPTX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""Test pptx.pptx"".",Slide: 1 > オフィス業務 > Blocks: 2-2,"Một thông tin cụ thể trong ""Test pptx.pptx"" là: オフィス業務.","Test pptx.pptx (slide 1, オフィス業務) | Test pptx.pptx (slide 5, ＜授業の目的＞) | Test pptx.pptx (slide 13, 日本人は、どんな人と一緒に仕事がしたいと考えていると思いますか？)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,422.3
B300-DIR-077,Base 300,Test xlsx.xlsx,XLSX,Base 300,"Tài liệu ""Test xlsx.xlsx"" nói về nội dung gì?",Sheet: Sheet4 > Sheet4,"tài liệu dạng bảng gồm 2 sheet (Sheet4, Sheet2); các cột chính gồm No., 受験番号, 氏名, 性別, 学科名, 日本語; số dòng dữ liệu đang có khoảng 35. Bạn muốn mình phân tích tiếp theo cột hoặc nhóm dữ liệu nào?","Test xlsx.xlsx (sheet Sheet2, A1:Z1000) | Test xlsx.xlsx (sheet Sheet1, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,399.38
B300-DIR-078,Base 300,Test xlsx.xlsx,XLSX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""Test xlsx.xlsx"".",Sheet: Sheet4 > Sheet4,"tài liệu dạng bảng gồm 2 sheet (Sheet4, Sheet2); các cột chính gồm No., 受験番号, 氏名, 性別, 学科名, 日本語; số dòng dữ liệu đang có khoảng 35. Bạn muốn mình phân tích tiếp theo cột hoặc nhóm dữ liệu nào?","Test xlsx.xlsx (sheet Sheet1, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,439.86
B300-DIR-088,Base 300,content_summary.md,MD,Base 300,"Trong file ""content_summary.md"", ý hoặc mục nào liên quan đến ""png""?",Test PNG.png (PNG),"3.3.1. - Độ chính xác và Khả năng kiểm soát ảo giác (Accuracy & Grounding) - Trong pha Offline, hệ thống thực hiện xử lý dữ liệu nguồn từ các văn bản pháp luật (DOCX), trích xuất metadata và áp dụng kỹ thuật phân mảnh dữ liệu 4 tầng (4-tier chunking) để xây dựng cấu trúc phân - ""chuong_so"": ""1"", ""chuong_ten"": ""Quy định chung"", - TEXT INDEX entity_name_idx FOR (n:Entity) ON n.name - 3.7.4. - Tổng hợp và Phản hồi có Căn cứ - Để đảm bảo mô hình không chỉ phản hồi đúng mà còn chuyên nghiệp và chặt chẽ, hệ thống áp dụng chiến lược thiết kế câu lệnh kết hợp giữa hai phương pháp tối ưu:.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- TÓM TẮT),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2630.57
B300-DIR-089,Base 300,Test md.md,MD,Base 300,"Trong file ""Test md.md"", ý hoặc mục nào liên quan đến ""gioi""?",1. Giới thiệu chung,"Ví dụ, câu “hệ thống dùng cơ sở dữ liệu nào” và đoạn “metadata được lưu trong PostgreSQL” có thể không giống nhau hoàn toàn về từ khóa, nhưng có liên quan về ý nghĩa. Những đoạn có ý nghĩa gần nhau sẽ có vector gần nhau, giúp hệ thống tìm được nội dung liên quan ngay cả khi cách diễn đạt khác nhau. Thay vào đó, hệ thống tìm các chunk liên quan trong vector index. Câu trả lời nên cho biết thông tin được lấy từ file nào, trang nào hoặc slide nào. Nếu đoạn văn bị cắt sai vị trí, câu trả lời của hệ thống có thể thiếu thông tin hoặc hiểu sai ý nghĩa.",Test md.md (2. Bối cảnh phát triển AI Document Chat) | Test md.md (Phụ lục C. Đoạn văn bản dài để kiểm thử chunking) | Test md.md (6. Vai trò của embedding và vector database),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,965.48
B300-DIR-090,Base 300,Test xlsx.xlsx,XLSX,Base 300,"Trong file ""Test xlsx.xlsx"", ý hoặc mục nào liên quan đến ""sheet4""?",Sheet: Sheet4 > Table: used_range_1 > Rows: 5-6,"sheet Sheet4; các cột chính gồm No., 受験番号, 氏名, 性別, 学科名, 日本語, 数学, 文学; khoảng 30 dòng dữ liệu; ví dụ Sheet Index: 1; Hidden Sheet: True; Header Columns: No., 受験番号, 氏名, 性別, 学科名, 日本語, 数学, 文学, 総計, 結果, column_11, column_12, column_13, column_14, column_15, column_16, column_17, column_18, column_19, column_20, column_21, column_22, column_23, column_24, column_25, column_26; Header Units: (none).","Test xlsx.xlsx (sheet Sheet4, A1:Z1000) | Test xlsx.xlsx (sheet Sheet4)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,411.65
B300-SUM-001,Base 300,AI Document Question Answering System.pptx,PPTX,Base 300,"Tóm tắt ngắn file ""AI Document Question Answering System.pptx"" trong 3 ý.",Tóm tắt có các ý chính: blocks,"Tài liệu ""AI Document Question Answering System.pptx"" có các ý chính: - TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI THÀNH PHỐ HỒ CHÍ MINH - ĐỀ TÀI: AI Document Question Answering System - Giảng viên hướng dẫn: Nguyễn Văn Huy - Sinh viên thực hiện: Huỳnh Ngọc Quang Vinh - Nội dung.",AI Document Question Answering System.pptx (slide 1) | AI Document Question Answering System.pptx (slide 2) | AI Document Question Answering System.pptx (slide 4) | AI Document Question Answering System.pptx (slide 9) | AI Document Question Answering System.pptx (slide 8),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,357.16
B300-SUM-002,Base 300,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Base 300,"Tóm tắt ngắn file ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" trong 3 ý.","Tóm tắt có các ý chính: 10, 13, blocks","Tài liệu ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" có các ý chính: - BÀI TRÌNH CHIẾU MẪU - Thư viện thông minh - cho trường học hiện đại - LIBRARY - Một bộ slide có nội dung dài vừa phải, chủ đề riêng biệt so với PDF, Markdown và hình ảnh. Dùng để kiểm thử khả năng đọc PPTX, tách nội dung theo slide, nhận diện tiêu đề và xử...",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 3) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 2) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 4) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 7),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,388.28
B300-SUM-026,Base 300,pptx_01_du_lich_can_tho.pptx,PPTX,Base 300,"Tóm tắt ngắn file ""pptx_01_du_lich_can_tho.pptx"" trong 3 ý.","Tóm tắt có các ý chính: 11, 17, 14, blocks","Tài liệu ""pptx_01_du_lich_can_tho.pptx"" có các ý chính: - Lịch trình Cần Thơ cuối tuần - Gợi ý 2 ngày 1 đêm cho nhóm bạn nhỏ - Mục tiêu chuyến đi - Đi nhẹ, ăn ngon, chụp ảnh đẹp và không dồn lịch quá dày. Kế hoạch ưu tiên trải nghiệm địa phương, di chuyển ngắn và có thời gian nghỉ. - 2 ngày.",pptx_01_du_lich_can_tho.pptx (slide 1) | pptx_01_du_lich_can_tho.pptx (slide 5) | pptx_01_du_lich_can_tho.pptx (slide 4) | pptx_01_du_lich_can_tho.pptx (slide 2) | pptx_01_du_lich_can_tho.pptx (slide 3),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,1177.59
B300-SUM-027,Base 300,pptx_02_trong_cay_truong_hoc.pptx,PPTX,Base 300,"Tóm tắt ngắn file ""pptx_02_trong_cay_truong_hoc.pptx"" trong 3 ý.","Tóm tắt có các ý chính: 10, 14, blocks, 17","Tài liệu ""pptx_02_trong_cay_truong_hoc.pptx"" có các ý chính: - Chiến dịch trồng cây trường học - Kế hoạch 4 tuần cho khuôn viên xanh hơn - Ý tưởng chính - Chiến dịch kết hợp giáo dục môi trường, hoạt động nhóm và theo dõi cây sau khi trồng. Mục tiêu không chỉ là trồng nhiều cây mà còn duy trì cây sống tốt. - Xanh hơn.",pptx_02_trong_cay_truong_hoc.pptx (slide 1) | pptx_02_trong_cay_truong_hoc.pptx (slide 5) | pptx_02_trong_cay_truong_hoc.pptx (slide 3) | pptx_02_trong_cay_truong_hoc.pptx (slide 4) | pptx_02_trong_cay_truong_hoc.pptx (slide 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,460.37
B300-SUM-039,Base 300,Test xlsx.xlsx,XLSX,Base 300,"Tóm tắt ngắn file ""Test xlsx.xlsx"" trong 3 ý.","Tóm tắt có các ý chính: 10, 11, 12, sheet4","tài liệu dạng bảng gồm 2 sheet (Sheet4, Sheet2); các cột chính gồm No., 受験番号, 氏名, 性別, 学科名, 日本語; số dòng dữ liệu đang có khoảng 35. Bạn muốn mình phân tích tiếp theo cột hoặc nhóm dữ liệu nào?","Test xlsx.xlsx (sheet Sheet1, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2, A1:Z1000) | Test xlsx.xlsx (sheet Sheet4, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2) | Test xlsx.xlsx (sheet Sheet4)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,491.47
B300-SUM-047,Base 300,Test xlsx.xlsx,XLSX,Base 300,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""Test xlsx.xlsx"".","Tổng hợp đúng các ý liên quan: 10, 11, 12, sheet4, used","tài liệu dạng bảng gồm 2 sheet (Sheet4, Sheet2); các cột chính gồm No., 受験番号, 氏名, 性別, 学科名, 日本語; số dòng dữ liệu đang có khoảng 35. Bạn muốn mình phân tích tiếp theo cột hoặc nhóm dữ liệu nào?","Test xlsx.xlsx (sheet Sheet1, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2, A1:Z1000) | Test xlsx.xlsx (sheet Sheet4, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2) | Test xlsx.xlsx (sheet Sheet4)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,510.63
B300-SUM-052,Base 300,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Base 300,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"".","Tổng hợp đúng các ý liên quan: 10, 13, blocks","Ảnh ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" có nội dung chính: BÀI TRÌNH CHIẾU MẪU; Thư viện thông minh; cho trường học hiện đại; LIBRARY; Một bộ slide có nội dung dài vừa phải, chủ đề riêng biệt so với PDF, Markdown và hình ảnh. Dùng để kiểm thử khả năng đọc PPTX, tách nội dung theo slide, nhận diện tiêu đề và xử...; Dữ liệu sách.",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 2) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 7) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 5) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 3),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,471.83
B300-SUM-055,Base 300,AI Document Question Answering System.pptx,PPTX,Base 300,"Tổng hợp các nội dung chính và điểm đáng chú ý trong ""AI Document Question Answering System.pptx"".",Tổng hợp đúng các ý liên quan: blocks,"Ảnh ""AI Document Question Answering System.pptx"" có nội dung chính: TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI THÀNH PHỐ HỒ CHÍ MINH; ĐỀ TÀI: AI Document Question Answering System; Giảng viên hướng dẫn: Nguyễn Văn Huy; Sinh viên thực hiện: Huỳnh Ngọc Quang Vinh; Nội dung; [4] bullet/text_box @ x=253943,y=1071627,w=5862388,h=4848225: Giới thiệu đề tài. ### Tóm tắt nhanh - **Vấn đề thực tế** - **Giải pháp đề xuất** - **Kiến trúc tổng thể hệ thống** - **Chức năng chính** - **Pipeline xử lý tài liệu** - **Luồng hỏi đáp AI RAG** ### Bảng tổng hợp | Chủ đề | Điểm chính | |---|---| | Vấn đề thực tế | Nội dung chính trong tài liệu | | Giải pháp đề xuất | Nội dung chính trong tài liệu | | Kiến trúc tổng thể hệ thống | Nội dung chính trong tài liệu | | Chức năng chính | Nội dung chính trong tài liệu | | Pipeline xử lý tài liệu | Nội dung chính trong tài liệu | | Luồng hỏi đáp AI RAG | Nội dung chính trong tài liệu | | Giao diện hệ thống demo | Nội dung chính trong tài liệu | | Kết quả benchmark và Kết luận | Nội dung chính trong tài liệu | ### Sơ đồ tổng quan ```mermaid flowchart TB classDef terminal fill:#0f766e,stroke:#115e59,color:#ffffff,stroke-width:2.4px classDef branch fill:#ecfeff,stroke:#14b",AI Document Question Answering System.pptx (slide 2) | AI Document Question Answering System.pptx (slide 9) | AI Document Question Answering System.pptx (slide 8) | AI Document Question Answering System.pptx (slide 7) | AI Document Question Answering System.pptx (slide 12),Đúng,Đúng,Một phần,0.5,Không,Medium,Có sinh sơ đồ/mermaid khi câu hỏi không yêu cầu rõ.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,579.4
